speed,flag,x_antp,x_atualp,y_pred,ypred_virtual,Y_virtual_0,Y_virtual_1,time_teda,time_rls_filter_1,time_rls_filter_2,time_rls_update_1
0,0,0,0,0,0,0,0,46,29,62,40
0,0,0.001000,0,0,0,0,0,74,28,52,37
5,0,0,5,0,0,0,0,92,24,53,42
12,0,5,12,28.689297,163.982391,68.589645,163.982391,84,24,53,42
17,0,12,17,28.341545,78.772148,47.249596,78.772148,84,28,53,46
22,0,17,22,32.881950,73.456001,49.146481,73.456001,84,24,53,42
27,0,22,27,37.844532,74.350159,53.044765,74.350159,84,24,53,44
32,0,27,32,42.903656,77.122833,57.522617,77.122833,88,29,53,42
37,0,32,37,47.988503,80.725021,62.240444,80.725021,88,24,53,46
42,0,37,42,53.077724,84.769241,67.077255,84.769241,90,24,53,37
45,0,42,45,55.300579,83.514908,67.958977,83.514908,80,28,53,46
47,0,45,47,56.450752,81.435448,67.801857,81.435448,84,24,53,46
47,0,47,47,55.259529,76.388115,64.970543,76.388115,84,24,53,44
45,0,47,45,51.911236,69.081078,59.883923,69.081078,88,29,53,42
35,0,45,35,39.342415,49.710361,44.223587,49.710361,88,24,53,46
17,0,35,17,18.647209,22.435907,20.454023,22.435907,88,24,53,42
6,0,17,6,6.538372,7.764371,7.125051,7.764371,80,28,53,46
1,0,6,1,1.088622,1.290123,1.185098,1.290123,84,24,53,42
4,0,1,4,4.354879,5.161886,4.741244,5.161886,84,24,53,44
12,0,4,12,13.077085,15.529962,14.250847,15.529962,88,29,53,42
20,0,12,20,21.851753,26.085484,23.874956,26.085484,88,24,53,46
26,0,20,26,28.480158,34.172794,31.196899,34.172794,88,24,53,42
30,0,26,30,32.900742,39.570774,36.081959,39.570774,80,28,52,46
35,0,30,35,38.453838,46.417633,42.248505,46.417633,84,24,53,42
39,0,35,39,42.870842,51.803226,47.125874,51.803226,84,24,53,44
43,0,39,43,47.273888,57.138268,51.972569,57.138268,88,29,53,42
47,0,43,47,51.657223,62.401848,56.775928,62.401848,88,24,53,46
49,0,47,49,53.711590,64.537460,58.876225,64.537460,87,24,53,37
51,0,49,51,55.758915,66.650368,60.961891,66.650368,80,28,53,46
54,0,51,54,58.944370,70.232719,64.341461,70.232719,84,24,53,42
56,0,54,56,60.969280,72.269844,66.379517,72.269844,84,24,53,42
57,0,56,57,61.852882,72.833328,67.118935,72.833328,90,28,53,37
59,0,57,59,63.881096,74.888138,69.166008,74.888138,84,24,52,46
60,0,59,60,64.777122,75.502693,69.934593,75.502693,475,29,314,288
61,0,60,61,65.683792,76.157898,70.727219,76.157898,83,28,53,44
60,0,61,60,64.366386,74.075554,69.050529,74.075554,80,24,53,46
60,0,60,60,64.197197,73.492958,68.688004,73.492958,84,24,53,46
59,0,60,59,62.941750,71.632874,67.146843,71.632874,84,29,53,46
57,0,59,57,60.618313,68.558586,64.466316,68.558586,92,24,53,42
56,0,57,56,59.421959,66.905968,63.053024,66.905968,80,24,53,46
55,0,56,55,58.243671,65.316185,61.678638,65.316185,84,28,53,46
54,0,55,54,57.080719,63.779449,60.337193,63.779449,84,24,53,42
56,0,54,56,59.168869,66.054710,62.517056,66.054710,80,24,53,42
58,0,56,58,61.253006,68.316597,64.688461,68.316597,84,28,52,46
61,0,58,61,64.414673,71.828171,68.020500,71.828171,92,24,52,44
60,0,61,60,63.244637,70.269783,66.664734,70.269783,84,24,53,46
54,0,60,54,56.717190,62.568626,59.571106,62.568626,88,28,52,46
43,0,54,43,44.954975,49.135612,46.998833,49.135612,80,24,53,46
32,0,43,32,33.340481,36.192253,34.737114,36.192253,84,24,52,46
21,0,32,21,21.826923,23.579739,22.686409,23.579739,84,28,53,46
16,0,21,16,16.617571,17.925144,17.258980,17.925144,92,24,53,42
21,0,16,21,21.819990,23.557274,22.671997,23.557274,84,24,53,46
28,0,21,28,29.116714,31.485531,30.277966,31.485531,88,28,53,42
35,0,28,35,36.433094,39.477718,37.924866,39.477718,80,24,53,46
41,0,35,41,42.720928,46.382515,44.514088,46.382515,84,24,53,46
45,0,41,45,46.915638,50.995033,48.912827,50.995033,84,28,53,46
50,0,45,50,52.172153,56.803654,54.438671,56.803654,92,24,53,42
54,0,50,54,56.376415,61.447586,58.857410,61.447586,84,24,53,46
58,0,54,58,60.583138,66.099670,63.281319,66.099670,88,28,53,46
60,0,58,60,62.660294,68.339966,65.438538,68.339966,80,24,53,46
62,0,60,62,64.734978,70.572205,67.590607,70.572205,84,24,53,46
64,0,62,64,66.807114,72.796112,69.737350,72.796112,84,29,53,46
65,0,64,65,67.810852,73.802467,70.743256,73.802467,92,24,53,46
66,0,65,66,68.814018,74.807114,71.748016,74.807114,83,24,53,42
68,0,66,68,70.881065,77.014572,73.884201,77.014572,84,28,53,42
70,0,68,70,72.945587,79.213821,76.015121,79.213821,84,24,53,46
70,0,70,70,72.878418,78.995209,75.875198,78.995209,84,24,53,37
70,0,70,70,72.815041,78.789291,75.743286,78.789291,84,28,53,46
71,0,70,71,73.816055,79.787666,76.743797,79.787666,88,24,52,46
71,0,71,71,73.756340,79.594200,76.619690,79.594200,84,24,53,42
70,0,71,70,72.641457,78.227158,75.382591,78.227158,84,28,53,46
70,0,70,70,72.590286,78.061966,75.276428,78.061966,87,24,53,46
70,0,70,70,72.541512,77.904716,75.175301,77.904716,80,24,53,44
70,0,70,70,72.494942,77.754776,75.078812,77.754776,92,28,53,42
69,0,70,69,71.397812,76.446312,73.878952,76.446312,84,24,53,44
69,0,69,69,71.357254,76.316116,73.795044,76.316116,84,24,53,46
