"Name","Threshold","FlagCorrection","N_outlier_max","Window","Forecasting","n_neighbors","weights","Energy_Consumed","accuracy","f1_score","recall","rmse_knn_pred","rmse_max","rmse_mean","rmse_min","mae_pred","mae_max","mae_mean","mae_min"
"decent-sweep-758","1.2","false","3","2","3","5","distance","1.7898802414707565e-7","0.935897435897436","0.7368421052631579","1","24.914142155623782","28.378295180724397","26.428077167580792","24.914142155623782","15.12885189319198","19.74657241185446","17.855841207473432","15.12885189319198"
"mild-sweep-865","1.2","false","2","2","4","5","uniform","1.81733057900778e-7","0.9102564102564102","0.6666666666666666","1","26.84534086101595","26.84534086101595","26.417763630293685","25.917357332859098","16.43024675324675","18.923999090909092","17.936191266233767","16.43024675324675"
"upbeat-sweep-545","1.2","false","2","2","2","15","uniform","1.5940581749974728e-7","0.8974358974358975","0.6363636363636364","1","23.9106386160492","24.82478953648357","24.367714076266385","23.9106386160492","13.962861298701304","16.584125238095243","15.273493268398273","13.962861298701304"
"golden-sweep-595","1.2","false","3","2","2","5","uniform","1.741398281483776e-7","0.8974358974358975","0.6363636363636364","1","26.89025845809683","28.618991091773424","27.754624774935127","26.89025845809683","16.55797051948052","20.973404025974027","18.765687272727273","16.55797051948052"
"woven-sweep-392","1.2","true","2","4","4","5","distance","1.946021812912275e-7","0.9102564102564102","0.6666666666666666","1","26.077393915192793","26.077393915192793","25.493754541287963","24.730245491978277","16.522257659086375","16.74583372721806","16.370108515315216","16.043779701808838"
"azure-sweep-278","1.2","true","3","3","3","5","distance","2.223248553286794e-7","0.935897435897436","0.7368421052631579","1","27.31481758905549","27.82814591316807","27.611367433310576","27.31481758905549","18.175897545800744","18.435315421266797","18.333507266944547","18.175897545800744"
"frosty-sweep-764","1.2","false","3","3","3","5","distance","1.780409108843944e-7","0.935897435897436","0.7368421052631579","1","27.31481758905549","27.82814591316807","27.611367433310576","27.31481758905549","18.175897545800744","18.435315421266797","18.333507266944547","18.175897545800744"
"trim-sweep-164","1.2","true","1","2","3","5","distance","2.1970877491121938e-7","0.935897435897436","0.7368421052631579","1","25.237164901042437","28.684053826879076","26.524481293414443","25.237164901042437","15.170222657716216","19.62946068962126","17.720858640918355","15.170222657716216"
"snowy-sweep-179","1.2","true","1","4","3","15","uniform","1.7328281863392987e-7","0.935897435897436","0.7368421052631579","1","23.303565299872904","23.949900487404033","23.630960047244468","23.303565299872904","15.391974848484852","15.85259316017316","15.11982373737374","14.114903203463204"
"dutiful-sweep-14","1.2","true","1","4","2","5","distance","2.063580615792186e-7","0.8974358974358975","0.6363636363636364","1","25.17038180916367","26.328890782412408","25.749636295788036","25.17038180916367","15.972640723161918","17.38337977528326","16.678010249222588","15.972640723161918"
"divine-sweep-599","1.2","false","3","2","2","15","uniform","1.703861879094701e-7","0.8974358974358975","0.6363636363636364","1","23.9106386160492","24.82478953648357","24.367714076266385","23.9106386160492","13.962861298701304","16.584125238095243","15.273493268398273","13.962861298701304"
"earthy-sweep-224","1.2","true","2","3","3","5","distance","1.975729461264564e-7","0.935897435897436","0.7368421052631579","1","27.163035800238497","27.482738330091767","27.365304837864187","27.163035800238497","18.185127415771476","18.185127415771476","18.095825069618527","17.97101820728341"
"honest-sweep-287","1.2","true","3","4","3","15","uniform","2.115739911437231e-7","0.935897435897436","0.7368421052631579","1","23.60983026737101","23.93009892449271","23.705676930694917","23.577101600221027","15.297432943722947","15.8532941991342","15.101282049062052","14.153119004329003"
"celestial-sweep-71","1.2","true","2","4","2","15","uniform","1.751248259415661e-7","0.8974358974358975","0.6363636363636364","1","23.24993077167048","23.308891342641953","23.279411057156217","23.24993077167048","15.432710649350652","15.432710649350652","15.2989420995671","15.165173549783551"
"worldly-sweep-124","1.2","true","3","4","2","10","distance","1.759961701432328e-7","0.8974358974358975","0.6363636363636364","1","24.131749528556902","24.131749528556902","23.550644747007787","22.969539965458676","15.044642724556995","15.044642724556995","14.817692511020386","14.590742297483777"
"young-sweep-503","1.2","false","1","4","2","15","uniform","2.0415896202014969e-7","0.8974358974358975","0.6363636363636364","1","23.61535326993953","23.61535326993953","23.49549421096375","23.375635151987968","15.492480259740264","15.492480259740264","15.410354891774894","15.328229523809524"
"feasible-sweep-819","1.2","false","1","3","4","10","uniform","1.8176588174886398e-7","0.9102564102564102","0.6666666666666666","1","24.19579553056349","25.52635462492838","24.440604410636848","23.70875507574575","14.669586168831168","16.703378051948054","15.459885811688316","14.669586168831168"
"comfy-sweep-72","1.2","true","2","4","2","15","distance","1.906800093865968e-7","0.8974358974358975","0.6363636363636364","1","22.805691402722697","22.855140825347263","22.83041611403498","22.805691402722697","14.611472393868455","14.794191300170183","14.70283184701932","14.611472393868455"
"daily-sweep-450","1.2","true","3","4","4","15","distance","2.469774456265997e-7","0.9102564102564102","0.6666666666666666","1","22.967897050009576","23.65225431497788","23.26847528936218","22.967897050009576","14.617609429445803","14.830608411930124","14.519681713927117","13.944662633116856"
"solar-sweep-123","1.2","true","3","4","2","10","uniform","1.629137202434726e-7","0.8974358974358975","0.6363636363636364","1","23.409861649759232","23.409861649759232","23.027233252155607","22.644604854551982","14.543089935064936","14.543089935064936","14.2749588961039","14.006827857142865"
"helpful-sweep-328","1.2","true","1","2","4","10","distance","1.813593909755835e-7","0.9102564102564102","0.6666666666666666","1","24.688121217687648","27.43335976691417","25.14447079650221","23.078567023336152","14.051085910283229","18.560925798433484","16.34484189717523","14.051085910283229"
"hearty-sweep-18","1.2","true","1","4","2","15","distance","1.9754325284578855e-7","0.8974358974358975","0.6363636363636364","1","23.099329515773","23.181079308915667","23.140204412344332","23.099329515773","14.911559030240229","15.25632189916056","15.083940464700394","14.911559030240229"
"decent-sweep-497","1.2","false","1","3","2","15","uniform","1.6355737268264017e-7","0.8974358974358975","0.6363636363636364","1","24.168701426623493","24.82722312381428","24.497962275218885","24.168701426623493","14.365551818181816","17.08703238095238","15.726292099567097","14.365551818181816"
"dark-sweep-720","1.2","false","2","4","3","15","distance","2.31875852641426e-7","0.935897435897436","0.7368421052631579","1","23.13931479996088","23.194614157595744","23.12592718677776","23.04385260277666","14.71021998163624","14.904241200734573","14.304729042674412","13.299725945652426"
"neat-sweep-168","1.2","true","1","2","3","15","distance","1.897380156550652e-7","0.935897435897436","0.7368421052631579","1","24.4087144443044","25.9464731259043","24.91441603480356","24.388060534201976","14.241984636301613","17.845966026552613","16.177563787520764","14.241984636301613"
"flowing-sweep-665","1.2","false","1","4","3","15","uniform","1.794006583577357e-7","0.935897435897436","0.7368421052631579","1","23.60983026737101","23.93009892449271","23.705676930694917","23.577101600221027","15.297432943722947","15.8532941991342","15.101282049062052","14.153119004329003"
"genial-sweep-60","1.2","true","2","2","2","15","distance","2.2050230223941173e-7","0.8974358974358975","0.6363636363636364","1","25.52536864183843","25.52536864183843","25.492824044896555","25.46027944795468","15.208334161563142","17.42626696977716","16.317300565670152","15.208334161563142"
"dry-sweep-487","1.2","false","1","2","2","5","uniform","1.6653220486002992e-7","0.8974358974358975","0.6363636363636364","1","26.89025845809683","28.618991091773424","27.754624774935127","26.89025845809683","16.55797051948052","20.973404025974027","18.765687272727273","16.55797051948052"
"golden-sweep-282","1.2","true","3","3","3","15","distance","1.813880603500214e-7","0.935897435897436","0.7368421052631579","1","25.09021267534443","25.251005028067357","24.95617192515803","24.527298072062305","15.21240427406686","16.374863665486767","15.914302918116585","15.21240427406686"
"easy-sweep-489","1.2","false","1","2","2","10","uniform","1.6219698588252467e-7","0.8974358974358975","0.6363636363636364","1","24.837245330970187","24.85342062685592","24.845332978913053","24.837245330970187","14.669279805194808","17.190229870129873","15.92975483766234","14.669279805194808"
"light-sweep-827","1.2","false","1","4","4","15","uniform","1.6743221843613457e-7","0.9102564102564102","0.6666666666666666","1","23.51037173908933","24.03243956875802","23.79716770554504","23.51037173908933","15.23650203463204","15.928687792207796","15.205666926406929","14.74393753246753"
"happy-sweep-67","1.2","true","2","4","2","5","uniform","1.6233726103602444e-7","0.8974358974358975","0.6363636363636364","1","25.751389139697597","26.139140967860552","25.945265053779075","25.751389139697597","16.779722077922077","17.002435844155848","16.891078961038964","16.779722077922077"
"revived-sweep-610","1.2","false","3","4","2","10","distance","2.0015061643549517e-7","0.8974358974358975","0.6363636363636364","1","24.131749528556902","24.131749528556902","23.550644747007787","22.969539965458676","15.044642724556995","15.044642724556995","14.817692511020386","14.590742297483777"
"lucky-sweep-394","1.2","true","2","4","4","10","distance","1.994722921829685e-7","0.9102564102564102","0.6666666666666666","1","23.16755467733252","23.81219876258379","23.366761378194276","22.7539437038738","14.368744990982533","14.619791400967776","14.33938069294488","14.171251776737778"
"fresh-sweep-11","1.2","true","1","3","2","15","uniform","1.8647277868783225e-7","0.8974358974358975","0.6363636363636364","1","23.201830929203208","24.114973864115232","23.65840239665922","23.201830929203208","14.13035554112554","17.252414978354977","15.691385259740258","14.13035554112554"
"restful-sweep-867","1.2","false","2","2","4","10","uniform","1.5796415752801197e-7","0.9102564102564102","0.6666666666666666","1","24.48667856760047","25.62448984452603","24.640479064103182","23.14925116691939","14.09425707792208","17.419298571428566","15.872950113636364","14.09425707792208"
"daily-sweep-279","1.2","true","3","3","3","10","uniform","1.648673333301708e-7","0.935897435897436","0.7368421052631579","1","23.91470512428335","25.40856654808925","24.318919886222563","23.633487986295087","14.321448376623378","16.535355519480518","15.363219199134202","14.321448376623378"
