"Name","Threshold","FlagCorrection","N_outlier_max","Window","Forecasting","n_Epochs","n_Units","Energy_Consumed","accuracy","f1_score","recall","rmse_lstm_pred","mae_pred","mae_max","mae_mean","mae_min","rmse_max","rmse_mean","rmse_min"
"true-sweep-882","1.2","false","2","4","4","200","100","0.000024852022849034817","0.9102564102564102","0.6666666666666666","1","22.997846152593674","13.240188748604911","15.190924991914825","13.702204537765702","12.959824014401129","24.955430061203465","23.52312521573945","22.4953220884922"
"cool-sweep-663","1.2","false","1","4","3","100","100","0.00001853065085356977","0.935897435897436","0.7368421052631579","1","25.36039734159213","15.045439505520116","15.045439505520116","14.164998108656585","12.559666003259435","27.026668035214943","24.770572419505054","21.924651881708105"
"misunderstood-sweep-277","1.2","true","3","3","3","100","10","0.00001810133106698686","0.935897435897436","0.7368421052631579","1","23.04479910919222","13.595119051688055","15.422289176485137","14.494721355963373","13.595119051688055","23.95630872686031","23.461851016684943","23.04479910919222"
"gallant-sweep-325","1.2","true","1","2","4","100","10","0.00001770744355549053","0.9102564102564102","0.6666666666666666","1","23.44998506078987","14.849517220633372","16.80843699570693","15.94755029459371","14.849517220633372","24.80633871509865","24.25507209849112","23.44998506078987"
"kind-sweep-500","1.2","false","1","4","2","100","50","0.00002341403646157788","0.8974358974358975","0.6363636363636364","1","24.807060898085613","15.1031600764287","15.1031600764287","15.053784035898186","15.00440799536767","25.047755782485552","24.92740834028558","24.807060898085613"
"devout-sweep-56","1.2","true","2","2","2","100","50","0.00001840160385578732","0.8974358974358975","0.6363636363636364","1","27.248546587955268","21.010116560343953","23.783546672394987","22.396831616369468","21.010116560343953","29.61772811991469","28.43313735393498","27.248546587955268"
"fluent-sweep-164","1.2","true","1","2","3","100","50","0.000017733092406550163","0.935897435897436","0.7368421052631579","1","22.935601184586435","13.916356987336393","17.551924693555957","15.6344913720069","13.916356987336393","25.390324413122105","24.02220609841746","22.935601184586435"
"sparkling-sweep-70","1.2","true","2","4","2","200","10","0.000017574208781227676","0.8974358974358975","0.6363636363636364","1","24.02856456187746","15.120839802848517","16.253753239936334","15.687296521392426","15.120839802848517","24.785055017645956","24.40680978976171","24.02856456187746"
"lively-sweep-4","1.2","true","1","2","2","200","10","0.000017218987040692025","0.8974358974358975","0.6363636363636364","1","24.32471104985339","16.215521902109124","17.833962702287945","17.024742302198533","16.215521902109124","25.03579705120324","24.680254050528315","24.32471104985339"
"cerulean-sweep-662","1.2","false","1","4","3","100","50","0.00001883428615042931","0.935897435897436","0.7368421052631579","1","24.720099704969623","15.515871957912694","16.540763383345173","15.000772140278343","12.945681079577165","25.37000248784511","24.190737568305437","22.482110512101578"
"genial-sweep-761","1.2","false","3","2","3","200","50","0.00001869870048746255","0.935897435897436","0.7368421052631579","1","23.878305570034417","14.573271438241932","15.251767751084364","14.970951351069992","14.573271438241932","23.878305570034417","23.73531913697651","23.658450564853105"
"flowing-sweep-704","1.2","false","2","2","3","100","50","0.00002234148854229337","0.935897435897436","0.7368421052631579","1","23.906017998349228","15.342647127859932","17.90189355849229","16.378689199102492","15.342647127859932","25.607709753705908","24.627435841999244","23.906017998349228"
"dulcet-sweep-7","1.2","true","1","3","2","100","10","0.0000331432232194273","0.8974358974358975","0.6363636363636364","1","25.16304472995308","16.752365881347657","17.18422079412287","16.96829333773526","16.752365881347657","25.16304472995308","25.056573102046144","24.95010147413921"
"morning-sweep-706","1.2","false","2","2","3","200","10","0.00001922264968781519","0.935897435897436","0.7368421052631579","1","22.639277891555203","12.760037530121249","18.644287543755063","15.535181956475329","12.760037530121249","26.108552080338495","24.231530991887865","22.639277891555203"
