"Name","Threshold","FlagCorrection","N_outlier_max","FilterOrder","Forecasting","Forgetting","Regularization","Energy_Consumed","accuracy","f1_score","recall","mae_pred","mae_max","mae_mean","mae_min","rmse_pred","rmse_max","rmse_mean","rmse_min"
"glamorous-sweep-196","1.2","false","3","2","2","0.99","1","2.8525003659499108e-8","0.8974358974358975","0.6363636363636364","1","8.10626737260585","15.192184288769354","11.649225830687602","8.10626737260585","21.311662614585153","23.771850069416796","22.541756342000973","21.311662614585153"
"dauntless-sweep-664","1.2","true","3","4","2","0.95","1","3.3817574961984876e-8","0.8974358974358975","0.6363636363636364","1","8.23538442949781","15.582867478319066","11.909125953908438","8.23538442949781","21.3578006332343","23.99838053343942","22.67809058333686","21.3578006332343"
"eager-sweep-262","1.2","false","2","2","3","1","1","3.453942885408247e-8","0.935897435897436","0.7368421052631579","1","7.597376469865042","20.152017199296683","14.100413714975602","7.597376469865042","20.978548968351728","27.1779758750913","23.85945820006422","20.978548968351728"
"smart-sweep-766","1.2","true","2","4","4","0.95","1","4.2931364314553235e-8","0.9102564102564102","0.6666666666666666","1","6.723056884640561","20.91907975868538","15.625444427536516","6.723056884640561","19.678744512275408","28.335629029261945","24.59960785421667","19.678744512275408"
"amber-sweep-1","1.2","true","1","2","2","0.95","0.1","7.741447832598978e-8","0.8974358974358975","0.6363636363636364","1","6.06401635855102","16.130240540788407","11.097128449669713","6.06401635855102","15.915083596364756","26.568482638212423","21.24178311728859","15.915083596364756"
"prime-sweep-547","1.2","false","2","3","3","0.95","0.1","3.6778711778929895e-8","0.935897435897436","0.7368421052631579","1","8.148510831983033","21.336827516438664","14.878224801143588","8.148510831983033","21.200344688973335","27.960090852609973","24.324843178019385","21.200344688973335"
"crisp-sweep-166","1.2","false","1","2","2","0.95","1","3.1564981256148404e-8","0.8974358974358975","0.6363636363636364","1","8.216959028564986","15.45898246671198","11.837970747638485","8.216959028564986","21.38109015023971","23.941867115257107","22.661478632748413","21.38109015023971"
"unique-sweep-505","1.2","false","1","3","2","0.99","0.1","3.419539636082744e-8","0.8974358974358975","0.6363636363636364","1","8.125711248812983","15.256569841754198","11.691140545283591","8.125711248812983","21.318041534042813","23.81384644858698","22.565943991314896","21.318041534042813"
"flowing-sweep-16","1.2","true","3","2","2","0.95","1","2.8467664910623277e-8","0.8974358974358975","0.6363636363636364","1","8.216959028564986","15.45898246671198","11.837970747638485","8.216959028564986","21.38109015023971","23.941867115257107","22.661478632748413","21.38109015023971"
"smart-sweep-388","1.2","true","2","3","3","0.95","1","3.8825500332551315e-8","0.935897435897436","0.7368421052631579","1","7.404973149220717","21.528777417013675","14.80554167927015","7.404973149220717","19.796246875330052","28.484394303892735","24.235157842286025","19.796246875330052"
"pleasant-sweep-721","1.2","true","1","4","3","0.99","0.1","3.6127507416697166e-8","0.935897435897436","0.7368421052631579","1","5.836588882819708","22.606369605600975","14.798298929960133","5.836588882819708","15.818710000100854","31.299567234533228","24.736327843259755","15.818710000100854"
